Flipped journal;control journal;discipline
Rodrigu‚sia;JOURNAL OF TROPICAL FOREST SCIENCE;AGRI
Sarcoma;Australian Journal of Rehabilitation Counselling;MEDI
Saudi Pharmaceutical Journal;Psychopharmakotherapie;PHAR
Science and Technology of Advanced Materials;Fatigue and Fracture of Engineering Materials and Structures;MATE
Scientia Marina;Journal Of Molluscan Studies;AGRI
Scientia Marina;SOIL SCIENCE;EART
Scientia Pharmaceutica;Dermatologie in Beruf und Umwelt;PHAR
Sefarad;Canadian Journal of Law and Society;SOCI
Sefarad;Journal Of The History Of Collections;ARTS
Slavisti?na Revija;Forum For Modern Language Studies;ARTS
Slavisti?na Revija;Osteuropa;SOCI
Social Sciences;Educational Leadership;SOCI
Society;International Journal for the Semiotics of Law;SOCI
Sociologia;HERMES;SOCI
South African Journal of Business Management;Advances in Business Marketing and Purchasing;BUSI
South African Journal of Communication Disorders;Chinesische Medizin;MEDI
South African Journal of Economic and Management Sciences;Betriebswirtschaftliche Forschung und Praxis;BUSI
South African Journal of Economic and Management Sciences;Betriebswirtschaftliche Forschung und Praxis;ECON
South African Journal of Obstetrics and Gynaecology;Chinesische Medizin;MEDI
South African Journal of Science;BOLETIN GEOLOGICO Y MINERO;EART
South African Journal of Science;lab Animal;AGRI
South African Journal of Science;lab Animal;BIOC
South African Medical Journal;Pediatric Emergency care;MEDI
Southern African Journal of HIV Medicine;plastic Surgical Nursing;MEDI
Srpski Arhiv za Celokupno Lekarstvo;Applied Radiology;MEDI
Studia Quaternaria;Austrian Journal of Earth sciences;EART
Studies in Mycology;European Review Of Agricultural Economics;AGRI
Tehni?ki Vjesnik;Howard Journal Of Communications;BUSI
Tehni?ki Vjesnik;Tribologia;ENGI
Tellus, Series A;Building Research and Information;ENGI
Tellus, Series A;Chemie der Erde;EART
Tellus, Series A;Environmental toxicology;ENVI
Tempo;Landscape Architecture;ARTS
The Journal of Headache and Pain;American Journal of Alzheimer's Disease and Other Dementias;NEUR
The Journal of Headache and Pain;International Journal of gynecological Pathology;MEDI
The Review of Regional Studies;Legacy;SOCI
The Review of Regional Studies;STANDORT;EART
Tuberculosis and Respiratory Diseases;lab Animal;MEDI
Turkderm;Journal of the Bahrain Medical Society;MEDI
Upsala Journal of Medical Sciences;Journal of Forensic Psychiatry and Psychology;MEDI
Veterinary Research;MEDICAL CARE;MEDI
Veterinary Research;lab Animal;VETE
Veterinary research;Journal of Child Psychology and Psychiatry and Allied Disciplines;MEDI
Veterinary research;lab Animal;VETE
Veterin rn¡ Medic¡na;Journal of Camel Practice and Research;VETE
Vojnosanitetski Pregled;Vestnik Rentgenologii i Radiologii;MEDI
Voluntas;Group Dynamics;BUSI
Voluntas;International review of social history;SOCI
Voluntas;Marine Georesources and Geotechnology;EART
Water;BOLETIN GEOLOGICO Y MINERO;EART
Water;Chemical Engineering;CENG
Water;Revue de Pneumologie Clinique;MEDI
Water;Wasserwirtschaft;ENVI
Water;Wasserwirtschaft;SOCI
Water;lab Animal;AGRI
Water;lab Animal;BIOC
Water S.A.;Ozone: Science and Engineering;ENVI
Water S.A.;Voprosy Virusologii;IMMU
Wildfowl;Disaster Prevention and Management;ENVI
Wildfowl;Nautilus;AGRI
Yonsei Medical Journal;Pediatric Emergency care;MEDI
Zeitschrift fur Psychologie;European Journal of the History of Economic Thought;ARTS
Zeitschrift fur Psychologie;Nonlinear Dynamics, Psychology, and Life Sciences;PSYC
???????? ????????;Breast Diseases;MEDI
